"_id","seller_name","supplier_code","asin_count","last_update_time"
"ObjectId(""66e9af18127f1c933f6c4adc"")","Toolstation","https://www.toolstation.com",70,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4add"")","Stalbridge Building Supplies","https://www.stalbridgebuildingsupplies.co.uk",25,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ade"")","Home Hardware Direct","https://homehardwaredirect.co.uk",28,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4adf"")","ManoMano.co.ukOpens in a new window","https://www.manomano.co.uk",314,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae0"")","Essentials Fix","https://www.essentialsfix.co.uk",62,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae1"")","The Hardware Shop","https://hardwareshops.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae2"")","Enna T","https://www.ennat.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae3"")","Square Deal Parts","https://www.square-deal.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae4"")","SimplyGames.com","https://www.simplygames.com",50,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae5"")","Coolshop.co.uk","https://www.coolshop.co.uk",269,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae6"")","Luvyababes","https://www.luvyababes.co.uk",26,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae7"")","Real Foods","https://www.realfoods.co.uk",97,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae8"")","Kindly of Brighton","https://kindlyofbrighton.com",61,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae9"")","Plantx UK","https://plantx.uk",64,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aea"")","G Baldwin & Co.","https://www.baldwins.co.uk",40,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aeb"")","Superfood Market","https://superfood-market.com",141,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aec"")","QuickVit","https://quickvit.co.uk",197,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aed"")","Real Plastic Free","https://www.realplasticfree.com",7,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aee"")","Dolphin Fitness","https://www.dolphinfitness.co.uk",364,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aef"")","Best Health Food Shop","https://www.besthealthfoodshop.com",154,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af0"")","Vitalife Health","https://www.vitalifehealth.com",102,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af1"")","Currys Business","https://business.currys.co.uk",75,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af2"")","A2B Office Supplies & Technology","https://www.a2boffice.co.uk",52,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af3"")","Primo IT","https://www.primoit.co.uk",52,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af4"")","Valueshop.co.uk","https://www.valueshop.co.uk",11,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af5"")","funboxmedia.co.uk","https://funboxmedia.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af6"")","Suplex Games","https://suplexgames.com",34,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af7"")","yachew.com","https://www.yachew.com",317,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af8"")","The Electrical Counter","https://www.electricalcounter.co.uk",26,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4af9"")","westbasedirect.com","https://westbasedirect.com",39,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4afa"")","GamersGate","https://www.gamersgate.com",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4afb"")","iGamer.pl","https://igamer.pl",5,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4afc"")","Magazinesandcomics.com","https://www.magazinesandcomics.com",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4afd"")","247electricalonline.com","https://www.247electricalonline.com",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4afe"")","Play-Asia.com","https://www.play-asia.com",102,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aff"")","Fanatical","https://www.fanatical.com",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b00"")","eneba.com","https://www.eneba.com",42,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b01"")","Sweetlea Gifts","https://www.sweetleagifts.co.uk",7,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b02"")","Select Sports Souvenirs","https://www.selectsportssouvenirs.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b03"")","AllSports Official Merch","https://allsportsofficialmerch.com",5,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b04"")","maznun.football","https://www.maznun.football",11,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b05"")","Excellent Pick","https://www.excellentpick.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b06"")","Footymania UK","https://footymania.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b07"")","Sporty Magpie","https://www.sportymagpie.co.uk",7,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b08"")","Official Football Merchandise","https://www.officialfootballmerchandise.com",7,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b09"")","Party Wholesalers","https://partywholesalers.net",23,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0a"")","Farm Toys Online","https://www.farmtoysonline.co.uk",24,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0b"")","Celebrations and Toys","https://www.candtoys.co.uk",9,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0c"")","Toys&Learning","https://www.toysandlearning.co.uk",39,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0d"")","Fancy Dress VIP","http://www.fancydressvip.com",137,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0e"")","Fancy Dress Town","https://www.fancydresstown.co.uk",34,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b0f"")","Cheapest Fancy Dress","https://www.cheapestfancydress.co.uk",28,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b10"")","Midlands Fancy Dress","https://midlandsfancydress.co.uk",40,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b11"")","Velodrome.Shop","https://www.velodrome.shop",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b12"")","Monsterbike","https://www.monsterbikeshop.com",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b13"")","CJ Performance CyclesOpens in a new window","https://www.cjperformancecycles.com",5,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b14"")","activesport","https://www.activesport.co.uk",12,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b15"")","Buy a Bike","https://www.buyabike.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b16"")","Giant Store Lincoln","https://www.doddingtonhallonline.uk",2,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b17"")","bike-components","https://www.bike-components.de",55,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b18"")","J E James Cycles","https://www.jejamescycles.com",17,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b19"")","Avon Valley Cyclery","https://www.avonvalleycyclery.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1a"")","alfjonescycles.co.uk","https://alfjonescycles.co.uk",7,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1b"")","Cycle Revolution","https://www.cycle-revolution.net",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1c"")","Bicycle Chain","https://www.bicyclechain.co.uk",10,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1d"")","Bikeparts.co.uk","https://www.bikeparts.co.uk",39,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1e"")","Fawkes Cycles","https://fawkes-cycles.co.uk",26,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b1f"")","Bikesoup","https://www.bikesoup.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b20"")","RM Cycles","https://www.rmcycles.co.uk",5,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b21"")","SportsGB","https://www.sportsgb.com",28,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b22"")","Activ Cycles","https://www.activcycles.co.uk",8,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b23"")","Tredz","https://www.tredz.co.uk",34,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b24"")","Vélo-Store UK","https://velo-store.co.uk",26,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b25"")","Deporvillage.net","https://www.deporvillage.net",55,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b26"")","Flamme Rouge","https://www.flammerouge.cc",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b27"")","Run & Ride","https://www.runandride.co.uk",10,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b28"")","Singletrack Bikes","https://www.singletrackbikes.co.uk",34,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b29"")","Funko Europe","https://www.funkoeurope.com",22,"2024-09-17 16:32:20"
